746,61114
147,39979
9562,73502
3239,96964
5130,12043
5420,18250
1298,70116
7682,1723
8414,1342
5966,48315
9338,31161
121,56829
7812,66317
5949,70775
1479,75153
3993,93508
1087,36103
7244,79876
3737,61511
6407,36518
9313,23248
5980,34750
8261,87276
8877,92185
3019,94316
4330,63620
2252,95081
4828,89220
636,98040
7720,52944
30,66540
6445,83835
9549,37393
9340,21510
5094,71270
9593,18833
4793,28760
8100,37266
4204,4074
4273,38271
1186,39593
521,85258
6188,1563
2194,17411
8128,5948
3311,54900
9126,71315
1175,88266
189,51537
1047,74805
5078,1469
2038,13598
152,76266
2409,37491
5964,70989
9460,91901
880,98263
2441,34054
8294,70275
6410,29392
1392,28913
290,47589
916,54203
8147,52881
322,34321
7458,63290
1452,23278
8068,25632
1802,93278
2808,65437
869,10142
3376,45617
6761,99666
5905,48326
1642,21193
6544,99657
7182,25965
8780,91616
1060,71759
4043,12626
9143,98727
5548,33536
8043,41752
3620,64133
4744,19758
8916,78697
4848,96456
7461,57814
1792,50326
6743,64506
9240,91552
5079,48772
5505,78665
3996,33079
5143,60366
529,57515
9779,48130
7555,47906
567,20472
5681,4577
8367,86011
3390,69582
9069,90009
7450,89525
4815,94043
7190,90663
7004,61547
647,5821
1740,12564
1774,77641
2414,75305
8904,66361
3229,99377
9558,85057
7639,99145
5711,56973
2751,74694
7441,58631
9991,20061
265,75847
640,50905
1841,84287
487,49376
8396,507
2076,80538
9219,91149
6688,34215
8919,72904
8048,6103
4734,91247
2514,54063
2667,61410
1008,10715
4321,49855
1723,24796
2440,27010
4613,89546
4606,6370
9805,37594
360,99557
516,95945
6330,51675
1296,67342
2276,52343
3233,45161
3230,45499
356,59111
3477,27359
4313,83357
4764,62799
6745,10563
2878,45465
4461,67429
6967,2330
4588,48807
5207,99134
9348,69697
5586,87916
2642,52566
2016,34413
7758,58751
5349,69251
7999,11256
2191,55478
553,30856
7845,72238
2317,88440
9798,13604
6077,44706
857,15726
8279,27585
9211,59295
3742,1571
5400,378
4355,26971
4874,21055
3038,37241
1347,86184
4623,40051
5562,51166
4480,47295
7082,38915
9987,24271
1527,14464
5167,7691
6522,15235
6944,15541
2984,30461
3128,81022
5994,58912
1664,64275
4969,37456
8270,15376
9970,8123
2753,54434
6596,44738
1401,44312
4560,37834
4400,7049
8846,25702
4040,38768
7626,64962
3763,57838
1856,20350
5027,88696
3888,58489
9591,94240
4666,35924
5654,7756
7038,23002
848,36507
354,12944
1504,93839
5339,87021
8426,62956
3946,39265
4509,30272
3860,11538
110,52596
1594,2797
9509,73830
288,85444
2269,34178
1597,38544
1758,52953
4072,54955
3121,6066
1526,88048
3688,65482
2515,97698
2098,37664
2124,24713
3790,38110
2406,69363
1616,10394
5593,24884
7612,51258
4100,79177
1265,3568
2007,77941
798,3803
7007,80394
5877,56902
7051,27713
7937,83787
9094,36247
720,58853
4841,63856
6618,60619
3258,19222
6831,78885
2974,37381
5883,6322
2264,24322
646,78277
1756,53267
1853,33805
1920,60463
2576,72830
8319,21910
5597,69230
3535,63621
3060,74588
8274,75457
9682,98992
8092,25496
3526,68757
4459,4661
7230,13353
393,93780
7591,454
9734,16799
2772,29698
2262,70664
2600,89000
9872,40817
4518,11330
9060,24454
6802,94448
7164,24328
3840,4105
6676,42240
8226,37478
2710,90979
2208,73995
7618,86758
37,28020
1071,70160
1582,64243
4880,37539
8105,67635
9655,6461
4668,35755
9320,25046
1462,37503
6144,24051
2474,24328
6366,15063
4464,47398
4978,20892
3437,98258
9552,67037
2597,30389
8709,73719
6459,91362
801,77339
9494,49917
6685,23128
5805,49316
2726,51189
2911,41100
3404,76834
3020,4192
5169,96505
9175,30941
4246,34309
893,81475
9717,53862
4667,56364
1090,49770
3983,70922
1684,25029
1523,268
5119,31747
3407,11610
374,55326
9949,23905
975,11505
3843,7476
1405,50956
7968,10264
5518,40231
9569,77379
7527,29927
5043,6025
3380,3526
1419,39147
9978,71849
3442,562
8960,46471
5950,13724
7632,8181
4334,379
759,88196
4316,13902
4498,90924
8973,75109
9182,59105
9122,90218
7161,81198
9257,94567
4062,64256
1829,46497
512,11251
6341,31083
2077,94958
2976,83133
4132,48776
4104,17253
644,68227
7512,71340
8033,73304
2747,6035
2666,50728
8609,5993
589,45888
9743,4452
5769,10999
1735,20234
6609,56523
2734,9721
5713,34735
6777,60167
9505,57136
9127,51070
2526,32647
9085,25282
2964,98151
7903,82644
8706,95720
2971,90636
6349,8605
2373,82799
5815,71512
8968,74150
4516,61199
292,11436
5579,34059
9399,78852
8513,33974
8336,56469
425,30362
6911,17762
1018,86318
7015,42493
5874,18518
274,3283
527,96558
6571,77986
8747,87592
4002,86049
7272,22419
614,71800
5832,73138
9180,3317
1520,60844
5984,77011
9243,88960
4728,35478
3191,90197
1933,29900
8860,37045
9546,57537
5396,61417
5821,83729
8435,1052
2690,37102
1787,1730
7601,16008
3355,71946
3941,21247
1357,30473
3732,26622
1782,64889
2315,71673
9656,45233
9190,85730
8050,68545
7568,35141
8040,5257
8245,64516
2870,3258
7651,53879
9194,11881
6297,69755
5234,59986
7605,48877
199,67614
6440,12911
7238,95811
8607,92974
9645,94504
5614,664
5880,78547
4590,76784
2561,83244
486,12881
7703,30185
471,24760
732,84562
2014,37176
6087,36721
9960,24702
5239,18196
9139,13958
5202,12248
3145,95544
329,48270
6097,42491
5542,38087
8290,85056
7737,20274
8534,27765
9220,53991
777,59082
5898,45268
3138,98528
2535,8475
7735,14618
725,97296
5915,6460
903,44747
5757,81096
1577,42627
1797,33431
658,96972
5093,913
8596,33804
9304,57846
3670,47054
8324,84494
7666,31602
6684,27271
6475,17975
7895,46658
7956,1083
7172,37727
6619,59353
2670,32793
9465,62226
8500,62388
2,73439
9915,38626
6875,44362
8164,93060
9157,70291
743,79135
5333,54826
2424,82074
1326,75088
3332,61885
2362,52622
9706,68495
424,42783
1395,14198
4075,59809
6277,75988
6767,46994
9584,11802
7481,36345
7721,53316
4527,76275
8845,39261
9396,36666
7927,52175
3613,14277
3595,49653
4049,90785
789,51800
9474,57770
126,63037
2989,6158
2260,48517
5168,43859
298,89028
456,70777
8604,7335
17,93450
7053,36557
1172,43835
1924,25077
3722,75291
586,62805
7723,96201
4375,51513
7535,1089
825,70759
9630,17236
474,51014
6380,85096
874,93043
3304,44733
8088,81363
4767,60447
4333,10972
8767,88937
4655,2480
8592,35240
178,78181
9055,16219
3293,56202
5891,13039
4754,8912
6069,16912
509,76204
3850,29762
3428,17754
165,57591
7517,81259
1738,70174
4314,40537
7515,91115
6275,58395
1535,99970
2803,1908
4778,31015
4205,55340
4740,18910
6413,99193
4058,47922
2335,96749
3728,17207
7811,44555
4820,28366
7648,86738
5540,28500
6968,30071
4597,46056
9245,24940
2949,75856
5213,99447
6756,87706
539,73705
439,31807
4367,26097
7381,75270
4910,20947
4189,75112
3752,79937
5029,69763
2494,38200
7104,12971
9680,88316
1494,88368
1766,54972
9941,11647
5317,47809
2784,39334
4805,2287
5801,50180
4639,83130
856,98076
7636,97261
6925,98572
8966,23966
2243,50560
2242,30229
9818,25196
5998,42934
4055,56230
1794,56873
7882,78228
8674,54978
3542,93846
1687,28399
6457,76987
6268,95322
711,85124
525,12060
5858,27209
2204,22485
1874,37553
3263,39885
9091,68401
